key,cls,truth_retrieved,truth_generated,truth_in_tail,rank_ret,rank_gen,rr_ret,rr_gen,n_mass,n_gen
PAHGJZDQXIOYTH,2,1,0,0,14,14,0.071429,0.071429,31,0
UYNVMODNBIQBMV,3,0,0,0,0,0,0.0,0.0,40,0
BAZGVDKAIHZPOH,2,1,0,0,1,1,1.0,1.0,56,0
GSPFUBNBRPVALJ,3,0,0,0,0,0,0.0,0.0,133,2
SIWOWUAUIFWBDY,1,1,0,0,1,1,1.0,1.0,6,0
YOHOWLRHMIRGCZ,3,0,0,0,0,0,0.0,0.0,3,0
IWXJKHSPEQSQMD,3,0,0,0,0,0,0.0,0.0,0,0
AUAXNNILRNCQAX,2,1,0,0,18,18,0.055556,0.055556,167,0
JXKBKZWTQVGIAK,3,0,0,0,0,0,0.0,0.0,42,0
JWINIHBXRZXFKL,3,0,0,0,0,0,0.0,0.0,10,0
BCZUAADEACICHN,3,0,0,0,0,0,0.0,0.0,18,10
LWUJNFXMOSWRGO,2,0,0,0,0,0,0.0,0.0,9,0
BOJKULTULYSRAS,2,1,0,0,33,33,0.0,0.0,361,0
FWBHETKCLVMNFS,3,0,0,0,0,0,0.0,0.0,41,0
KNQNJCODLDRFSM,2,0,0,0,0,0,0.0,0.0,0,0
IPBVNPXQWQGGJP,2,0,0,0,0,0,0.0,0.0,0,0
GPARBZTZAHGRDH,3,0,0,0,0,0,0.0,0.0,15,0
CYIDZMCFTVVTJO,3,0,1,0,0,1,0.0,1.0,5,3
FCCNKYGSMOSYPV,3,0,0,0,0,0,0.0,0.0,10,0
XOJDXSDPICSSTA,3,0,1,0,0,62,0.0,0.0,159,13
MNVGUNLOWKLLFC,1,1,0,0,2,2,0.5,0.5,15,0
BJNRRZFZTVYOOW,2,1,0,0,6,6,0.166667,0.166667,47,0
OLBCVFGFOZPWHH,1,1,0,0,1,1,1.0,1.0,43,0
VLUYADZBWJUSNX,2,1,0,0,1,1,1.0,1.0,23,0
RXWNCPJZOCPEPQ,1,1,0,0,2,2,0.5,0.5,40,0
ZJBMQVPEJHVSQA,2,1,0,0,1,1,1.0,1.0,7,0
IERFAZQCIAZODG,1,1,0,0,1,1,1.0,1.0,340,0
UDXANBFMQUOKTQ,2,1,0,0,4,4,0.25,0.25,194,0
IZFGRAGOVZCUFB,2,1,0,0,32,32,0.0,0.0,57,0
GWDFJIBHVSYXQL,3,0,0,0,0,0,0.0,0.0,193,0
JEOAJYYDZYNEAH,2,0,0,0,0,0,0.0,0.0,21,0
NVJLIMSDAPOFHF,3,0,0,0,0,0,0.0,0.0,2,0
XIGAUIHYSDTJHW,2,1,0,0,1,1,1.0,1.0,10,0
KYERVKWKQQBRQB,3,0,0,0,0,0,0.0,0.0,26,5
XNRGJMFNTYWHNR,2,1,0,0,1,1,1.0,1.0,5,0
PTIDGSWTMLSGAH,2,1,0,0,81,81,0.0,0.0,94,0
TZDVTFYLQHHLND,2,1,0,0,1,1,1.0,1.0,12,4
DQOWHTFHFLRPDX,2,1,0,0,20,20,0.05,0.05,33,0
HPBJJSKSRVQRQK,3,0,0,0,0,0,0.0,0.0,51,0
NXJYJHDDQUZYBZ,2,1,0,0,1,1,1.0,1.0,11,0
JSLDLCGKZDUQSH,3,0,0,0,0,0,0.0,0.0,86,0
QMGGMESMCJCABO,3,0,0,0,0,0,0.0,0.0,42,0
ORJDDOBAOGKRJV,2,1,0,0,7,7,0.142857,0.142857,160,9
OAUREGNZECGNQS,3,0,0,0,0,0,0.0,0.0,22,0
XREZOMRRMAKCRX,3,0,0,0,0,0,0.0,0.0,1,0
HZDFZQGZGNKKNH,2,1,0,0,141,141,0.0,0.0,155,0
BKWJAKQVGHWELA,3,0,0,0,0,0,0.0,0.0,10,0
RLZIADDATOMNNY,2,1,1,0,1,6,1.0,0.166667,26,9
DORPKYRPJIIARM,1,1,1,0,1,1,1.0,1.0,31,6
QKVNMVAISCKGFO,3,0,0,0,0,0,0.0,0.0,161,0
NPNNKDMSXVRADT,1,1,0,0,1,1,1.0,1.0,131,0
AHANXAKGNAKFSK,2,1,0,0,9,9,0.111111,0.111111,344,0
DEZCXDHAJMKBQF,2,1,0,0,2,2,0.5,0.5,28,0
ANODJSBBJYGIOF,2,1,0,0,1,1,1.0,1.0,21,0
HITLMPHPGUZLGI,3,0,0,0,0,0,0.0,0.0,523,0
UTMFIKFVXBHDRL,3,0,0,0,0,0,0.0,0.0,4,0
KQMOCRHUOQQSTB,3,0,1,0,0,75,0.0,0.0,227,11
RJIWZDNTCBHXAL,3,0,0,0,0,0,0.0,0.0,7,0
SDGDWRYYHQOQOJ,3,0,0,0,0,0,0.0,0.0,56,0
XFKGEQRMYJCXFK,3,0,0,0,0,0,0.0,0.0,316,0
QGNRETMYLHRUBB,2,1,0,0,1,1,1.0,1.0,2,0
XEQQGHISHUGMIP,2,1,0,0,4,4,0.25,0.25,15,0
YFDKIHAZVQFLRC,3,0,0,0,0,0,0.0,0.0,281,0
PTTJLTMUKRRHAT,2,1,0,0,5,5,0.2,0.2,19,0
NYTZRFVFIRTFIX,2,1,0,0,7,7,0.142857,0.142857,50,3
NZASCBIBXNPDMH,3,0,0,0,0,0,0.0,0.0,31,1
NWTGGTMLVAWUHF,3,0,1,0,0,1,0.0,1.0,8,4
LOSIPCYWORXTAW,2,1,0,0,9,9,0.111111,0.111111,9,0
BDCDNTVZSILEOY,1,1,0,0,1,1,1.0,1.0,40,0
UDMLVGSGFGXFEF,2,1,0,0,2,2,0.5,0.5,8,0
HRRYYCWYCMJNGA,3,0,0,0,0,0,0.0,0.0,20,0
BPYKTIZUTYGOLE,3,0,0,0,0,0,0.0,0.0,56,0
SBNYIBUYPAIQOI,2,0,0,0,0,0,0.0,0.0,0,0
SYKWLIJQEHRDNH,2,1,0,0,2,2,0.5,0.5,3,0
MIROITGPMGDCGI,2,1,0,0,27,27,0.0,0.0,37,0
