query,cls,frag_collision,explanatory_collision,both_explain_nothing,score_near_tie,truth_ahead,score_gap,n_truth_frag,n_rival_frag,n_peaks_truth,n_peaks_rival,jaccard
PAHGJZDQXIOYTH,2,False,False,True,False,False,-0.17228,74,74,0,0,0.0
BAZGVDKAIHZPOH,2,False,True,False,False,True,0.31456,6,3,3,3,1.0
SIWOWUAUIFWBDY,1,False,False,False,False,True,6.55485,130,75,5,4,0.8
AUAXNNILRNCQAX,2,True,True,False,False,False,-2.3926,15,15,8,8,1.0
BOJKULTULYSRAS,2,False,False,True,False,False,-2.53891,24,13,0,0,0.0
CYIDZMCFTVVTJO,3,True,True,False,False,True,0.11173,9,9,1,1,1.0
XOJDXSDPICSSTA,3,False,False,True,False,False,-0.14652,0,0,0,0,0.0
MNVGUNLOWKLLFC,1,False,True,False,False,False,-0.78667,79,79,1,1,1.0
BJNRRZFZTVYOOW,2,False,True,False,False,False,-0.20017,63,55,2,2,1.0
OLBCVFGFOZPWHH,1,False,False,False,False,True,3.06672,13,27,2,6,0.3333
VLUYADZBWJUSNX,2,False,False,False,False,True,0.05608,333,332,16,15,0.9375
RXWNCPJZOCPEPQ,1,False,False,True,False,False,-0.62747,89,90,0,0,0.0
ZJBMQVPEJHVSQA,2,True,False,True,False,True,0.92902,52,52,0,0,0.0
IERFAZQCIAZODG,1,False,False,True,False,True,2.08717,41,35,0,0,0.0
UDXANBFMQUOKTQ,2,False,False,False,False,False,-0.17117,31,41,3,4,0.75
IZFGRAGOVZCUFB,2,False,False,True,False,False,-2.14488,80,69,0,0,0.0
XIGAUIHYSDTJHW,2,False,False,False,False,True,3.66453,28,15,1,1,0.0
XNRGJMFNTYWHNR,2,False,False,False,False,True,8.79855,48,50,2,4,0.5
PTIDGSWTMLSGAH,2,False,False,False,False,False,-2.28451,9,37,4,2,0.5
TZDVTFYLQHHLND,2,False,True,False,False,True,0.76878,77,73,3,3,1.0
DQOWHTFHFLRPDX,2,False,False,False,False,False,-1.51126,61,106,0,5,0.0
NXJYJHDDQUZYBZ,2,False,False,True,False,True,0.1831,81,48,0,0,0.0
ORJDDOBAOGKRJV,2,False,False,False,False,False,-3.18352,15,29,2,4,0.5
HZDFZQGZGNKKNH,2,False,False,True,False,False,-1.12483,47,43,0,0,0.0
RLZIADDATOMNNY,2,False,False,True,False,False,-0.66062,36,34,0,0,0.0
DORPKYRPJIIARM,1,False,True,False,False,True,0.93476,55,52,4,4,1.0
NPNNKDMSXVRADT,1,True,True,False,False,True,1.37559,59,59,14,14,1.0
AHANXAKGNAKFSK,2,False,True,False,False,False,-1.07737,93,81,16,16,1.0
DEZCXDHAJMKBQF,2,False,False,False,False,False,-2.61915,16,19,3,4,0.75
ANODJSBBJYGIOF,2,False,False,False,False,True,3.037,57,90,5,10,0.1538
KQMOCRHUOQQSTB,3,False,False,True,False,False,-0.14652,0,0,0,0,0.0
QGNRETMYLHRUBB,2,False,True,False,False,True,5.70913,27,35,1,1,1.0
XEQQGHISHUGMIP,2,False,True,False,True,False,-0.0078,244,241,3,3,1.0
PTTJLTMUKRRHAT,2,False,False,True,False,False,-0.15048,22,62,0,0,0.0
NYTZRFVFIRTFIX,2,True,False,True,False,False,-1.05709,38,38,0,0,0.0
NWTGGTMLVAWUHF,3,False,False,True,False,True,0.14384,0,0,0,0,0.0
LOSIPCYWORXTAW,2,False,False,False,False,False,-1.17557,75,34,1,0,0.0
BDCDNTVZSILEOY,1,False,False,True,False,True,2.43737,26,19,0,0,0.0
UDMLVGSGFGXFEF,2,True,True,False,False,False,-2.13028,21,21,7,7,1.0
SYKWLIJQEHRDNH,2,False,False,True,False,False,-0.04477,402,403,0,0,0.0
MIROITGPMGDCGI,2,False,False,True,False,False,-0.49013,31,30,0,0,0.0
RHDRMOUSDQDVCE,2,False,False,True,False,True,1.25593,63,65,0,0,0.0
GIIZNNXWQWCKIB,1,False,False,False,False,True,7.15118,97,19,1,0,0.0
AFTBPUXZTDLRSP,2,False,True,False,False,False,-0.18021,65,55,1,1,1.0
SJVQHLPISAIATJ,2,False,False,False,False,True,3.58454,28,48,2,10,0.2
FTAGQROYQYQRHF,1,False,True,False,False,True,2.65903,95,100,6,6,1.0
BIGUPJIJZYZJMV,2,False,False,False,False,False,-2.58887,15,33,7,4,0.5714
GPWHCUUIQMGELX,2,False,True,False,False,True,0.53528,51,73,2,2,1.0
YCWSUKQGVSGXJO,2,False,False,False,False,True,4.9325,36,37,11,3,0.2727
MOBUVCKLGDJANF,2,True,True,False,False,False,-0.67942,41,41,3,3,1.0
VOBCHHSFSHYHIA,2,False,False,False,False,True,12.33602,80,48,6,3,0.5
OFQKTZRDRXZBON,1,False,False,False,False,True,8.75311,23,4,8,6,0.75
FPVGOYVYIRGMQO,2,False,False,True,False,False,-3.61712,0,0,0,0,0.0
ARHMXGGUMSXGFS,1,False,True,False,False,True,2.27616,22,28,2,2,1.0
WOPYGCANEAIOEM,2,True,True,False,False,False,-0.6723,8,8,3,3,1.0
OJYLAHXKWMRDGS,1,True,True,False,False,True,0.92936,30,30,1,1,1.0
BQHHNAPTXQOPBW,2,False,True,False,False,False,-4.00767,59,101,6,6,1.0
BHSDLJXQKBYFNH,2,False,False,False,False,True,0.12391,30,28,0,1,0.0
GWTQDEWQHCDBEI,2,True,True,False,False,False,-0.10779,75,75,9,9,1.0
XGCUCFKWVIWWNW,2,False,False,False,False,False,-1.00238,25,28,2,2,0.3333
ZOJAINJCZSVZGW,2,False,True,False,False,False,-5.31058,3,4,2,2,1.0
KQDRVXQXKZXMHP,2,False,False,False,False,True,5.2791,41,16,4,3,0.0
OMPFZUXZCIVLSI,1,False,True,False,False,True,3.04133,38,51,2,2,1.0
BITHHVVYSMSWAG,2,False,True,False,False,False,-0.51123,83,93,3,3,1.0
FYDVPEVHFUBOJG,1,False,False,True,False,True,3.49505,15,13,0,0,0.0
UGJMXCAKCUNAIE,2,True,True,False,False,False,-0.04379,19,19,3,3,1.0
BYHVZDRLSCCTND,2,False,False,False,True,False,-0.0189,20,19,2,0,0.0
ANDGGVOPIJEHOF,2,False,True,False,False,True,4.98226,6,4,8,8,1.0
JPKVDETWOQEHQO,2,False,False,True,True,False,0.0,53,53,0,0,0.0
DXJGGEVMIZJZLN,2,False,True,False,False,True,4.00398,100,8,1,1,1.0
WRHWVCAYGJOCSG,2,True,True,False,False,False,-0.7767,26,26,9,9,1.0
FJKRCBVJIUJMSB,1,False,False,False,False,True,3.82576,34,39,2,2,0.3333
NVEPPWDVLBMNMB,2,False,False,False,False,False,-0.60363,13,11,6,3,0.5
PTVXQARCLQPGIR,1,False,False,True,False,True,4.57952,18,19,0,0,0.0
MHJKBJNQJSWYKS,2,False,False,True,False,False,-0.42201,0,0,0,0,0.0
GCKMFJBGXUYNAG,2,True,True,False,False,False,-0.78276,7,7,2,2,1.0
OGNQOWNBNTWYJN,2,False,False,False,False,True,2.96163,33,40,4,6,0.6667
