set,query,cls,in_massspecgym,same_adduct
eval,PAHGJZDQXIOYTH,2,False,False
eval,UYNVMODNBIQBMV,3,True,True
eval,BAZGVDKAIHZPOH,2,True,True
eval,GSPFUBNBRPVALJ,3,True,True
eval,SIWOWUAUIFWBDY,1,True,True
eval,YOHOWLRHMIRGCZ,3,False,False
eval,IWXJKHSPEQSQMD,3,True,False
eval,AUAXNNILRNCQAX,2,True,True
eval,JXKBKZWTQVGIAK,3,True,True
eval,JWINIHBXRZXFKL,3,False,False
eval,BCZUAADEACICHN,3,True,True
eval,LWUJNFXMOSWRGO,2,False,False
eval,BOJKULTULYSRAS,2,True,True
eval,FWBHETKCLVMNFS,3,True,True
eval,KNQNJCODLDRFSM,2,False,False
eval,IPBVNPXQWQGGJP,2,False,False
eval,GPARBZTZAHGRDH,3,True,True
eval,CYIDZMCFTVVTJO,3,False,False
eval,FCCNKYGSMOSYPV,3,True,True
eval,XOJDXSDPICSSTA,3,False,False
eval,MNVGUNLOWKLLFC,1,False,False
eval,BJNRRZFZTVYOOW,2,False,False
eval,OLBCVFGFOZPWHH,1,False,False
eval,VLUYADZBWJUSNX,2,False,False
eval,RXWNCPJZOCPEPQ,1,True,True
eval,ZJBMQVPEJHVSQA,2,False,False
eval,IERFAZQCIAZODG,1,True,True
eval,UDXANBFMQUOKTQ,2,False,False
eval,IZFGRAGOVZCUFB,2,False,False
eval,GWDFJIBHVSYXQL,3,True,True
eval,JEOAJYYDZYNEAH,2,True,True
eval,NVJLIMSDAPOFHF,3,False,False
eval,XIGAUIHYSDTJHW,2,True,True
eval,KYERVKWKQQBRQB,3,False,False
eval,XNRGJMFNTYWHNR,2,False,False
eval,PTIDGSWTMLSGAH,2,True,True
eval,TZDVTFYLQHHLND,2,True,True
eval,DQOWHTFHFLRPDX,2,False,False
eval,HPBJJSKSRVQRQK,3,True,True
eval,NXJYJHDDQUZYBZ,2,True,True
eval,JSLDLCGKZDUQSH,3,True,True
eval,QMGGMESMCJCABO,3,True,True
eval,ORJDDOBAOGKRJV,2,True,True
eval,OAUREGNZECGNQS,3,True,True
eval,XREZOMRRMAKCRX,3,True,True
eval,HZDFZQGZGNKKNH,2,True,True
eval,BKWJAKQVGHWELA,3,True,True
eval,RLZIADDATOMNNY,2,True,True
eval,DORPKYRPJIIARM,1,False,False
eval,QKVNMVAISCKGFO,3,True,True
eval,NPNNKDMSXVRADT,1,True,True
eval,AHANXAKGNAKFSK,2,True,True
eval,DEZCXDHAJMKBQF,2,True,True
eval,ANODJSBBJYGIOF,2,True,True
eval,HITLMPHPGUZLGI,3,False,False
eval,UTMFIKFVXBHDRL,3,True,True
eval,KQMOCRHUOQQSTB,3,False,False
eval,RJIWZDNTCBHXAL,3,True,True
eval,SDGDWRYYHQOQOJ,3,False,False
eval,XFKGEQRMYJCXFK,3,False,False
eval,QGNRETMYLHRUBB,2,False,False
eval,XEQQGHISHUGMIP,2,False,False
eval,YFDKIHAZVQFLRC,3,False,False
eval,PTTJLTMUKRRHAT,2,True,True
